y,N,E,avg_ew,sd_ew,med_ew,max_ew,avg_ew_scaled,sd_ew_scaled,med_ew_scaled,deg_max,deg_min,strength_mean,assort,ed,ld,mean_deg,nc,nc_weighted,m,m_weighted,beta_eff,period,pcgroup
2007,3,2,96629.89525,66823.93701,96629.89525,143881.5543,0.5,0.345772583,0.5,1,0.5,0.666666667,-1,0.666666667,0.666666667,1.333333333,1,0.75,-0.375,-0.40488967,142841.6659,early,CCA
2007,8,14,10639.55418,16406.0108,6166.934269,55176.33932,0.071428571,0.110141637,0.041401669,0.714285714,0.142857143,0.25,0.333333333,0.5,1.75,3.5,0.285714286,0.302930097,0.160714286,0.372716612,35937.34257,late,CCA
2007,5,5,49280.52557,46960.83569,58131.6812,101766.2508,0.2,0.190585775,0.235921515,1,0.25,0.4,-0.805555556,0.5,1,2,0.833333333,0.624972109,-0.26,-0.33631279,94030.8618,early,ERA
2007,9,11,16441.31245,41442.64573,1642.006762,140573.5332,0.090909091,0.229149179,0.009079162,0.625,0,0.222222222,0.16374269,0.305555556,1.222222222,2.444444444,0.410714286,0.35681929,0.165289256,0.346237758,120903.3431,late,ERA
2007,6,9,4537.958233,6267.823775,2655.749453,18361.63262,0.111111111,0.153466565,0.065025559,1,0.2,0.333333333,-0.565217391,0.6,1.5,3,0.6,0.496145377,-0.043209877,0.055884834,13195.07072,early,BGA
2007,6,7,3969.958184,4869.09216,919.2183557,11278.38294,0.142857143,0.175212071,0.033077655,0.8,0,0.333333333,-0.555555556,0.466666667,1.166666667,2.333333333,0.5,0.197499616,-0.153061224,0.263404696,9941.824225,late,BGA
2007,2,1,NA,NA,NA,0,NA,NA,NA,1,1,1,NA,1,0.5,1,NA,NA,-0.5,-0.5,NA,early,BDA
2007,3,3,1700.203032,2909.119595,41.32693519,5059.280263,0.333333333,0.57034749,0.008102353,1,1,0.666666667,NA,1,1,2,0,0.749999162,-0.333333333,-0.495981463,6677.830208,late,BDA
2007,10,11,13687.12484,21783.4804,3096.858064,61045.599,0.090909091,0.144684616,0.020569152,0.444444444,0,0.2,0.193333333,0.244444444,1.1,2.2,0.25,0.397613678,0.214876033,0.21103579,48356.20429,early,SFA
2007,11,25,12261.43659,26800.90162,2906.885285,127204.4564,0.04,0.087431522,0.009483017,1,0.1,0.181818182,-0.530489275,0.454545455,2.272727273,4.545454545,0.666666667,0.270570196,0.1048,0.382600685,70842.52717,late,SFA
2007,9,18,1755.870576,1804.839716,860.4649244,5846.495471,0.055555556,0.057104934,0.027225017,0.875,0.125,0.222222222,-0.476754786,0.5,2,4,0.482142857,0.215028944,0.044753086,0.112316818,3611.045122,early,MRA
2007,9,19,3951.371161,5931.791022,2151.754465,21133.992,0.052631579,0.079010428,0.028660996,1,0.125,0.222222222,-0.398268398,0.527777778,2.111111111,4.222222222,0.607142857,0.2078976,-0.009695291,0.204844792,12856.16479,late,MRA
2007,10,8,13969.80896,35404.09727,1114.812892,101495.8894,0.125,0.316791172,0.009975198,0.444444444,0,0.2,-0.103448276,0.177777778,0.8,1.6,0.333333333,0.442607359,0.21875,0.166791606,103695.4528,early,MNA
2007,14,24,31283.9283,136616.0873,1337.444598,672169.7902,0.041666667,0.181957231,0.001781325,0.538461538,0,0.142857143,-0.02172949,0.263736264,1.714285714,3.428571429,0.320512821,0.439092562,0.160590278,0.180322859,627882.767,late,MNA
2008,4,4,41432.38641,30342.84719,46355.73125,73013.12697,0.25,0.183086529,0.279707104,1,0.333333333,0.5,-0.714285714,0.666666667,1,2,0.666666667,0.666626793,-0.28125,-0.33763392,63653.85265,early,CCA
2008,8,13,25102.00099,53759.06,6969.285536,200728.6203,0.076923077,0.164740345,0.021356819,0.714285714,0.142857143,0.25,0.037037037,0.464285714,1.625,3.25,0.333333333,0.282140188,0.127218935,0.467095167,140233.7203,late,CCA
2008,6,6,22772.09712,24353.63988,16901.04624,64526.4545,0.166666667,0.178241818,0.123697041,1,0.2,0.333333333,-0.833333333,0.4,1,2,0.9,0.598524318,-0.25,-0.330971766,48817.11933,early,ERA
2008,6,6,4866.900892,3865.811202,6207.363493,9355.858216,0.166666667,0.132384423,0.212570711,0.8,0,0.333333333,-0.714285714,0.4,1,2,0.6,0.34525376,-0.097222222,0.015430623,7937.540008,late,ERA
2008,6,9,12958.31134,26375.79361,3226.731928,81917.52331,0.111111111,0.226159386,0.02766763,1,0.2,0.333333333,-0.636363636,0.6,1.5,3,0.6,0.54176681,0.049382716,0.068098072,66644.51088,early,BGA
2008,8,11,4301.869064,4461.679681,2813.052434,14575.10047,0.090909091,0.094286283,0.059446728,0.714285714,0.142857143,0.25,-0.093567251,0.392857143,1.375,2.75,0.428571429,0.154099513,0.144628099,0.424458199,8929.296185,late,BGA
2008,3,1,NA,NA,NA,0,NA,NA,NA,0.5,0,0.666666667,NA,0.333333333,0.333333333,0.666666667,0.5,0.5,-0.5,-0.5,NA,early,BDA
2008,7,11,4940.543652,7996.495979,370.7137611,25112.24048,0.090909091,0.147140524,0.006821365,1,0.333333333,0.285714286,-0.451388889,0.523809524,1.571428571,3.142857143,0.666666667,0.550241159,0.041322314,0.000850434,17883.23831,late,BDA
2008,11,17,10501.60212,15822.60729,2095.824098,57971.1932,0.058823529,0.088628534,0.01173952,0.8,0.1,0.181818182,-0.363154407,0.309090909,1.545454545,3.090909091,0.6,0.237093738,0.344290657,0.244153357,34341.28854,early,SFA
2008,14,27,7610.940037,13818.52666,2215.739362,47512.94762,0.037037037,0.06724495,0.010782429,0.615384615,0,0.142857143,-0.155555556,0.296703297,1.928571429,3.857142857,0.371794872,0.169412137,0.152263374,0.536728136,32700.04574,late,SFA
2008,6,6,4931.541189,4805.474248,3376.834557,11534.78248,0.166666667,0.162406101,0.114123707,0.6,0,0.333333333,NA,0.4,1,2,0.3,0.283253971,-0.25,-0.293226728,9614.171194,early,MRA
2008,13,25,6642.25607,14449.20876,661.1949611,64585.00018,0.04,0.087013862,0.003981749,0.75,0,0.153846154,-0.297457332,0.320512821,1.923076923,3.846153846,0.507575758,0.311342582,0.0728,0.015320945,38074.29234,late,MRA
2008,11,18,18572.79933,55606.69002,292.378005,233730.1773,0.055555556,0.166332522,0.000874571,0.5,0,0.181818182,1,0.327272727,1.636363636,3.272727273,0.211111111,0.381812364,0.277777778,0.141847183,185058.4173,early,MNA
2008,13,22,11349.75845,41641.00382,547.9020492,196890.3274,0.045454545,0.166767681,0.002194288,0.5,0,0.153846154,0.235173824,0.282051282,1.692307692,3.384615385,0.257575758,0.375037086,0.23553719,0.337276956,164125.979,late,MNA
2009,4,3,56692.69064,30699.51627,56598.59906,87439.14456,0.333333333,0.180502495,0.332780107,0.666666667,0.333333333,0.5,-0.5,0.5,0.75,1.5,0.333333333,0.46252255,0,0,73316.70845,early,CCA
2009,9,16,7199.995575,15574.74767,1700.444984,63482.10175,0.0625,0.135197546,0.014760816,0.75,0.125,0.222222222,0.15959596,0.444444444,1.777777778,3.555555556,0.392857143,0.237820359,0.1171875,0.494785702,40890.67809,late,CCA
2009,5,5,60751.74387,81555.73108,22627.00678,191073.0753,0.2,0.268488527,0.074490065,0.75,0.25,0.4,-0.5625,0.5,1,2,0.416666667,0.623618601,-0.24,-0.371620697,170235.6343,early,ERA
2009,10,18,16242.82056,44801.84085,3094.747858,193324.2516,0.055555556,0.153236388,0.010585011,0.777777778,0.111111111,0.2,-0.2,0.4,1.8,3.6,0.472222222,0.327875125,0.097222222,0.433521817,139817.7216,late,ERA
2009,6,6,5915.389795,6640.562262,3060.018731,16755.17673,0.166666667,0.187098469,0.086216317,0.8,0.2,0.333333333,-0.466666667,0.4,1,2,0.6,0.559094878,0.069444444,0.004504813,13370.02401,early,BGA
2009,7,12,9702.487879,12951.91699,4619.751536,39068.79778,0.083333333,0.111242233,0.03967841,0.833333333,0.166666667,0.285714286,-0.4,0.571428571,1.714285714,3.428571429,0.366666667,0.312902707,-0.03125,0.008494002,26992.08986,late,BGA
2009,4,3,9429.147902,10216.4271,5166.47789,21086.63722,0.333333333,0.361164735,0.182642092,1,0.333333333,0.5,-1,0.5,0.75,1.5,1,0.666666667,0,0,20498.58745,early,BDA
2009,6,11,3443.471022,5406.894238,423.5188155,16967.412,0.090909091,0.142744294,0.011181076,1,0.4,0.333333333,-0.390804598,0.733333333,1.833333333,3.666666667,0.4,0.440109428,-0.17768595,-0.308180469,11933.30733,late,BDA
2009,10,6,2741.749101,3388.021499,1883.292213,8958.595891,0.166666667,0.205952561,0.114482407,0.555555556,0,0.2,-0.714285714,0.133333333,0.6,1.2,0.527777778,0.441446375,0.277777778,0.010734806,6928.379333,early,SFA
2009,14,39,7926.286659,19145.45124,550.726855,81625.05157,0.025641026,0.061934299,0.001781566,0.923076923,0.076923077,0.142857143,-0.361359842,0.428571429,2.785714286,5.571428571,0.576923077,0.229097823,0.072649573,0.320886772,54170.93047,late,SFA
2009,10,12,6661.175561,8983.919671,1358.573569,26461.89434,0.083333333,0.112391569,0.016996169,0.666666667,0,0.2,-0.435897436,0.266666667,1.2,2.4,0.5,0.332514477,0.079861111,0.211033368,18777.77749,early,MRA
2009,12,33,5067.381425,8292.71422,1235.93349,30784.56137,0.03030303,0.049590577,0.007390904,0.909090909,0.181818182,0.166666667,-0.328578222,0.5,2.75,5.5,0.490909091,0.217441109,0.101469238,0.291623711,18638.31745,late,MRA
2009,10,11,1790.34012,2167.2544,880.6840839,6946.682504,0.090909091,0.110047876,0.044718983,0.444444444,0,0.2,0.175,0.244444444,1.1,2.2,0.25,0.157229668,0.301652893,0.501249666,4413.859295,early,MNA
2009,13,32,10190.48186,45680.47136,1389.306571,260150.9626,0.03125,0.140083143,0.00426043,0.75,0.083333333,0.153846154,-0.082508251,0.41025641,2.461538462,4.923076923,0.401515152,0.412304996,0.0546875,0.3224286,214960.5303,late,MNA
2010,2,1,NA,NA,NA,0,NA,NA,NA,1,1,1,NA,1,0.5,1,NA,NA,-0.5,-0.5,NA,early,CCA
2010,8,17,6971.89285,7545.699959,2914.103272,23296.15557,0.058823529,0.063664877,0.024586987,0.857142857,0.142857143,0.25,-0.323113208,0.607142857,2.125,4.25,0.333333333,0.249950136,0.060553633,0.174563118,15138.62592,late,CCA
2010,6,6,59505.25321,47121.71028,53159.81478,122146.196,0.166666667,0.131981934,0.148893898,1,0.2,0.333333333,-0.833333333,0.4,1,2,0.9,0.341363119,0,2.22E-16,96820.53984,early,ERA
2010,9,14,48699.46664,143997.8967,6124.464961,546304.7871,0.071428571,0.21120486,0.008982887,0.625,0.125,0.222222222,-0.079889807,0.388888889,1.555555556,3.111111111,0.303571429,0.429418845,0.109693878,0.294374803,474482.2461,late,ERA
2010,7,9,10097.96936,13783.22696,4879.143171,37849.07405,0.111111111,0.151661152,0.053686736,0.666666667,0,0.285714286,-0.5,0.428571429,1.285714286,2.571428571,0.333333333,0.323324195,-0.203703704,-0.296988648,28911.39003,early,BGA
2010,8,18,20052.52557,45261.88673,3923.301021,188589.486,0.055555556,0.125398133,0.010869512,1,0.142857143,0.25,-0.476923077,0.642857143,2.25,4.5,0.476190476,0.423404205,-0.143518519,-0.297602527,122216.135,late,BGA
2010,3,2,2389.102713,2832.390943,2389.102713,4391.905556,0.5,0.592772954,0.5,1,0.5,0.666666667,-1,0.666666667,0.666666667,1.333333333,1,0.75,-0.375,-0.462844944,5747.032203,early,BDA
2010,7,16,8108.973147,12670.44671,2472.547814,46239.30422,0.0625,0.097657608,0.01905719,1,0.333333333,0.285714286,-0.478547855,0.761904762,2.285714286,4.571428571,0.333333333,0.389694157,0,2.22E-16,27906.8214,late,BDA
2010,8,4,21276.41749,33991.94675,6545.171629,71890.8041,0.25,0.399408721,0.076906411,0.428571429,0,0.25,-0.6,0.142857143,0.5,1,0.380952381,0.427735341,0.375,0.002922024,75583.13733,early,SFA
2010,14,36,12011.13871,23285.39856,1806.887083,87079.39626,0.027777778,0.053851399,0.00417873,0.923076923,0.076923077,0.142857143,-0.317814305,0.395604396,2.571428571,5.142857143,0.615384615,0.212154737,0.015817901,0.472224474,57153.38533,late,SFA
2010,11,16,3805.956362,5621.515066,1550.083484,21628.35679,0.0625,0.09231443,0.025454895,0.6,0,0.181818182,-0.412384717,0.290909091,1.454545455,2.909090909,0.377777778,0.336302447,0.216796875,0.282944348,12109.1077,early,MRA
2010,15,47,7176.301554,24708.16481,687.1575694,166350.1979,0.021276596,0.073255789,0.002037313,0.785714286,0,0.133333333,-0.287395677,0.447619048,3.133333333,6.266666667,0.39010989,0.303160497,0.011770032,0.30237218,92247.05889,late,MRA
